 * Running on http://0.0.0.0:5999/ (Press CTRL+C to quit)
127.0.0.1 - - [01/Apr/2017 11:28:20] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 11:28:30] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 11:28:40] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 11:28:50] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 11:29:01] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 11:29:11] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 11:29:22] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 11:29:31] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 11:29:41] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 11:29:51] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 11:30:00] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 11:30:10] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 11:30:20] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 11:30:30] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 11:30:40] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 11:30:50] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 11:31:01] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 11:31:11] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 11:31:21] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 11:31:30] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 11:31:41] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 11:31:50] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 11:32:00] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 11:32:10] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 11:32:20] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 11:52:26] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 11:52:36] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 11:52:46] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 11:53:00] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 11:53:10] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 11:59:52] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 11:59:52] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 12:00:01] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 12:00:02] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 12:00:02] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 12:00:11] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 12:00:12] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 12:00:12] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 12:00:21] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 12:00:22] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 12:00:22] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 12:00:31] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 12:00:32] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 12:00:41] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 12:00:42] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 12:00:51] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 12:01:00] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 12:01:10] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 12:01:20] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 12:01:30] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 12:01:40] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 12:01:50] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 12:02:00] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 12:02:10] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 12:02:20] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 12:02:30] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 12:02:40] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 12:02:50] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 12:03:01] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 12:03:11] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 12:03:21] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 12:03:31] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 12:03:41] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 12:03:51] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 12:04:00] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 12:04:10] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 12:04:20] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 12:04:30] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 12:04:40] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 12:04:50] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 12:05:01] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 12:05:10] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 12:05:20] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 12:05:30] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 12:05:40] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 12:05:50] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 12:06:01] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 12:06:11] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 12:06:21] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 12:06:31] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 12:06:41] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 12:06:51] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 12:07:00] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 12:07:10] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 12:07:20] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 12:07:30] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 12:07:40] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 12:07:50] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 12:08:00] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 12:08:11] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 12:08:21] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 12:08:31] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 12:08:41] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 12:08:51] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 12:09:00] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 12:09:10] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 12:09:20] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 12:09:30] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 12:09:40] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 12:09:50] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 12:10:00] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 12:10:11] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 12:10:21] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 12:10:31] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 12:10:41] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 12:10:51] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 12:11:00] "GET / HTTP/1.1" 200 -
